class_accuracy,multiclass_brier,rows,market_days,qualifying_predictions,trades,trades_per_day,days_without_trade,net_win_rate,mean_net_bps,profit_factor,return_pct,closed_equity_max_drawdown_pct,name,test_year,horizon_minutes,training_years,classification,calendar,train_rows,calibration_rows,feature_count,train_first,train_last,cal_first,cal_last,test_first,test_last,double_cost_return_pct
0.5287223002258714,0.4985389053920559,16381,173,128,97,0.5606936416184971,123,0.5154639175257731,0.10299405746169688,1.0984145428117533,0.09954487366337084,-0.32424519073106506,2026_30m_1_binary,2026,30,1,binary,False,24768,24679,41,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-0.2880926503473047
0.5135217630181308,0.49732081634806796,16381,173,558,401,2.3179190751445087,30,0.5261845386533666,0.48430723457045655,1.3004608813180827,1.9534358210048008,-0.5383987848485483,2026_30m_3_binary,2026,30,3,binary,False,74197,24679,41,2022-01-02 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,0.3311933953939805
0.5283560222208656,0.4961913607005772,16381,173,659,476,2.7514450867052025,15,0.569327731092437,0.5749530156074713,1.3373581551452447,2.7615320361476625,-0.8652626576509559,2026_30m_all_binary,2026,30,all,binary,False,222423,24679,41,2016-01-04 23:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,0.8235324067146443
0.5502106098528783,0.4946843107198587,16381,173,711,330,1.907514450867052,22,0.6090909090909091,1.6216451156463572,1.8250115667167217,5.473030970129633,-1.03892406653745,2026_60m_1_binary,2026,60,1,binary,False,24768,24679,41,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,4.090128911099411
0.5508210731945546,0.49267030691922065,16381,173,864,365,2.1098265895953756,19,0.6328767123287671,1.7386359253514498,2.038605651913858,6.53880710872452,-0.740493495931871,2026_60m_3_binary,2026,60,3,binary,False,74197,24679,41,2022-01-02 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,4.994875225757656
0.5402600573835541,0.4942660411801945,16381,173,860,363,2.098265895953757,19,0.5564738292011019,0.9136450496121822,1.3957654246598756,3.3560025300311658,-1.2254917915375696,2026_60m_all_binary,2026,60,all,binary,False,222423,24679,41,2016-01-04 23:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,1.8662204126015602
0.4547951895488676,0.6043363458161944,16381,173,34,34,0.19653179190751446,147,0.5294117647058824,-5.07536678474251,0.29087196204247046,-1.717516434087385,-1.7346794438260371,2026_15m_1_ternary,2026,15,1,ternary,False,24768,24679,41,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-1.8511607168627542
0.4511324094988096,0.6024842833670667,16381,173,40,40,0.23121387283236994,145,0.525,-0.3185030724086209,0.8336504672417121,-0.12829301923297232,-0.43112728051599714,2026_15m_3_ternary,2026,15,3,ternary,False,74197,24679,41,2022-01-02 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-0.28796833301052427
0.4498504364812893,0.6017152245915498,16381,173,56,56,0.3236994219653179,127,0.6607142857142857,0.3135465721373347,1.1597164037690686,0.17420839797108734,-0.415105332778809,2026_15m_all_ternary,2026,15,all,ternary,False,222423,24679,41,2016-01-04 23:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-0.0499282793401834
0.47677186984921555,0.5854976013419313,16381,173,47,37,0.2138728323699422,148,0.5945945945945946,0.3733423722844356,1.356956598062849,0.13803073450187053,-0.19015285037990992,2026_30m_1_ternary,2026,30,1,ternary,False,24768,24679,41,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,-0.010061384636239623
0.4766497771808803,0.5827656734194855,16381,173,180,135,0.7803468208092486,93,0.7037037037037037,2.5164197743318804,2.5055885080347395,3.4505787927219256,-0.3671395930912702,2026_30m_3_ternary,2026,30,3,ternary,False,74197,24679,41,2022-01-02 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,2.893579582988015
0.4788474452109151,0.5818328975896832,16381,173,197,143,0.8265895953757225,91,0.6783216783216783,2.387740772997838,1.9481956557481799,3.458429006031394,-0.9930030123570854,2026_30m_all_ternary,2026,30,all,ternary,False,222423,24679,41,2016-01-04 23:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,2.8684636085704707
0.5210304621207497,0.5559611218455113,16381,173,485,238,1.3757225433526012,39,0.6176470588235294,1.8681462688858539,2.4109050192353623,4.537631531845965,-0.29645694455480154,2026_60m_1_ternary,2026,60,1,ternary,False,24768,24679,41,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,3.5473191713774277
0.5125450216714487,0.554421723410815,16381,173,545,265,1.5317919075144508,32,0.6226415094339622,1.9100075829612655,2.0442774791157134,5.180961397732653,-0.6814807174991278,2026_60m_3_ternary,2026,60,3,ternary,False,74197,24679,41,2022-01-02 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,4.072119241678673
0.5091874732922288,0.5551256761447251,16381,173,637,282,1.630057803468208,27,0.6028368794326241,1.9712119775435393,1.8534951539486533,5.6947584056584954,-0.881836888456311,2026_60m_all_ternary,2026,60,all,ternary,False,222423,24679,41,2016-01-04 23:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,4.509427650341524
0.5311031072584091,0.4985621861688579,16381,173,109,83,0.4797687861271676,132,0.5180722891566265,0.43890740138403816,1.484792564620927,0.3645937550467382,-0.28188350363739234,2026_30m_1_binary_calendar,2026,30,1,binary,True,24768,24679,45,2024-01-01 22:00:00+00:00,2024-12-31 20:45:00+00:00,2025-01-01 22:00:00+00:00,2025-12-31 20:45:00+00:00,2026-01-01 22:00:00+00:00,2026-08-31 23:00:00+00:00,0.03194372716768257
